,"Код
Инструмента","Наименование
Инструмента","Базис
поставки","Объем
Договоров
в единицах
измерения","Обьем
Договоров,
руб.","Изменение рыночной
цены к цене
предыдуего дня",Col6,"Цена (за единицу измерения), руб.",Col8,Col9,Col10,"Цена в Заявках (за единицу
измерения)",Col12,"Количество
Договоров,
шт."
0,,,,,,Руб.,%,Минимальная,Средневзвешенная,Максимальная,Рыночная,"Лучшее
предложение","Лучший
195,DE5FROR005A,"ДТ ЕВРО сорт F (ДТ-Е-К5) минус 20, НБ Серпуховская
(самовывоз автотранспортом)",НБ Серпуховская,-,-,-,-,-,-,-,-,69000,-,-
196,DSC5ACH005A,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, Ачинский НПЗ (самовывоз
автотранспортом)",Ачинский НПЗ,-,-,-,-,-,-,-,74500,74500,73500,-
197,DSC5ALL065J,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, ст. Аллагуват (ст.
отправления ОТП)",ст. Аллагуват,6045,372931715,29,"0,05",61670,61693,61699,61693,61670,61699,64
198,DSC5ANK065F,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, Ангарск-группа станций
(ст. отправления)","Ангарск-группа
станций",4745,344453135,28,"0,04",72572,72593,72600,72593,72572,72600,34
199,DSC5AVM005A,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, СН КНПЗ (самовывоз
автотранспортом)",СН КНПЗ,60,5212500,375,"0,43",86500,86875,88000,86875,86500,88000,3
200,DSC5BIN065J,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, ст. Биклянь (ст.
отправления ОТП)",ст. Биклянь,1105,77380355,18,"0,03",70016,70027,70033,70027,70016,70033,14
201,DSC5BTC065J,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, БП (б.т.ц.) Осенцы (ст.
отправления ОТП)",БП (б.т.ц.) Осенцы,3575,218733970,21,"0,03",61169,61184,61190,61184,61169,61190,29
202,DSC5CHR100U,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, ЛПДС Черкассы (франко-
труба)",ЛПДС Черкассы,-,-,-,-,-,-,-,-,-,65500,-
203,DSC5DZM065F,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, ст. Дземги (ст.
отправления)",ст. Дземги,2210,181745850,-613,"-0,75",82000,82238,82873,82238,81500,82873,26
204,DSC5FTS100U,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, Самарская группа НПЗ
(франко-труба)","Самарская группа
НПЗ",3800,246893300,23,"0,04",64955,64972,64978,64972,64955,64979,23
205,DSC5GUB005A,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, НБ Губкинская (самовывоз
автотранспортом)",НБ Губкинская,-,-,-,-,-,-,-,-,70000,-,-
206,DSC5KDM005A,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, НБ Кудьминская
(самовывоз автотранспортом)",НБ Кудьминская,-,-,-,-,-,-,-,-,70000,65000,-
207,DSC5KOB065F,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, ст. Комбинатская (ст.
отправления)",ст. Комбинатская,3120,201832150,23,"0,04",64673,64690,64696,64690,64667,64696,32
208,DSC5KOB065J,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, ст. Комбинатская (ст.
отправления ОТП)",ст. Комбинатская,-,-,-,-,-,-,-,-,-,64750,-
209,DSC5KSC005A,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, НБ Косыревская
(самовывоз автотранспортом)",НБ Косыревская,-,-,-,-,-,-,-,-,68802,68400,-
210,DSC5LSA100U,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, ЛПДС Салават (франко-
труба)",ЛПДС Салават,1000,63953700,18,"0,03",63942,63954,63959,63954,63942,63960,9
211,DSC5LSS005A,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, Лискинский цех
(самовывоз автотранспортом)",Лискинский цех,140,9632700,-1205,"-1,75",68805,68805,68805,68805,68805,68805,3
212,DSC5LUL065J,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, Волгоград-группа станций
(ст. отправления ОТП)","Волгоград-группа
станций",4355,277454840,22,"0,03",63693,63709,63715,63709,63690,63715,40
213,DSC5NIL065J,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, ст. Никель (ст.
отправления ОТП)",ст. Никель,-,-,-,-,-,-,-,-,-,61700,-
214,DSC5NOV065F,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, ст. Новая Еловка (ст.
отправления)",ст. Новая Еловка,3510,247277160,-703,-1,70000,70449,71166,70449,70000,71166,43
215,DSC5NPA100U,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, ТАНЕКО (франко-труба)",ТАНЕКО,-,-,-,-,-,-,-,-,-,64600,-
216,DSC5NPT025A,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, ТАНЕКО (самовывоз
автотранспортом)",ТАНЕКО,4725,326025000,-,-,69000,69000,69000,69000,69000,69000,13
217,DSC5NRT025A,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, НБ Никифор (самовывоз
автотранспортом)",НБ Никифор,-,-,-,-,-,-,-,-,70500,-,-
218,DSC5NTE005A,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, НБ г. Климовск
(самовывоз автотранспортом)",НБ г. Климовск,-,-,-,-,-,-,-,-,68501,-,-
219,DSC5NVY065F,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, ст. Новоярославская (ст.
отправления)",ст. Новоярославская,2795,179449140,24,"0,04",64186,64204,64209,64204,64186,64210,28
220,DSC5NVY065J,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, ст. Новоярославская (ст.
отправления ОТП)",ст. Новоярославская,-,-,-,-,-,-,-,-,-,64301,-
221,DSC5OSN065F,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, ст. Осенцы (ст.
отправления)",ст. Осенцы,325,20053085,14,"0,02",61694,61702,61707,61702,61680,61708,5
222,DSC5PKA060J,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, ст. Протока (ст.
отправления ОТП)",ст. Протока,-,-,-,-,-,-,-,79900,-,-,-
223,DSC5POF005A,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, НБ Пром-Нефть-Сервис
(самовывоз автотранспортом)","НБ Пром-Нефть-
Сервис",80,5505000,-,-,68500,68813,69000,68813,68500,69800,3
224,DSC5POF100P,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, НБ Пром-Нефть-Сервис
(франко-резервуар)","НБ Пром-Нефть-
Сервис",500,34250000,-,-,68500,68500,68500,68500,68500,68500,1
225,DSC5PUN005A,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, Пункт автоналива (ЯНОС)
(самовывоз автотранспортом)","Пункт автоналива
(ЯНОС)",-,-,-,-,-,-,-,69513,69500,68000,-
226,DSC5RFF060C,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, РФ БП (ст. назначения)",РФ БП,1260,90676200,-,-,69900,71000,73540,71000,69900,73540,8
227,DSC5RNT100U,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, Рязанская НПК (франко-
труба)",Рязанская НПК,1400,91046300,19,"0,03",65021,65033,65039,65033,65021,65040,9
228,DSC5ROD005A,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, Ростов-на-Дону БП
(самовывоз автотранспортом)",Ростов-на-Дону БП,-,-,-,-,-,-,-,72500,-,-,-
229,DSC5ROR005A,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, НБ Серпуховская
(самовывоз автотранспортом)",НБ Серпуховская,-,-,-,-,-,-,-,-,69000,-,-
230,DSC5RSN005A,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, Краснодар БП (самовывоз
автотранспортом)",Краснодар БП,80,5880000,-500,"-0,68",73500,73500,73500,73500,73500,73500,3
231,DSC5SAU065F,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, Самара-группа станций
(ст. отправления)","Самара-группа
станций",715,44995340,18,"0,03",62919,62931,62936,62931,62918,62937,9
232,DSC5SLF100U,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, Ярославнефтеоргсинтез
(франко-труба)","Ярославнефтеоргсин
тез",300,19432200,10,"0,02",64770,64774,64776,64774,64770,64780,2
233,DSC5SSI065F,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, Саратов-группа станций
(ст. отправления)","Саратов-группа
станций",1040,67359695,19,"0,03",64756,64769,64775,64769,64756,64775,13
234,DSC5STI065F,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, ст. Стенькино II (ст.
отправления)",ст. Стенькино II,4030,256314630,25,"0,04",63583,63602,63608,63602,63583,63608,42
235,DSC5SVS005A,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, Увекская НБ (самовывоз
автотранспортом)",Увекская НБ,-,-,-,-,-,-,-,-,70500,-,-
236,DSC5SYC005A,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, НБ Сызранская
(самовывоз автотранспортом)",НБ Сызранская,-,-,-,-,-,-,-,-,73300,-,-
237,DSC5TIF100U,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, ТАИФ-НК (франко-труба)",ТАИФ-НК,-,-,-,-,-,-,-,-,-,64000,-
238,DSC5TMB005A,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, Тамбовская НБ
(самовывоз автотранспортом)",Тамбовская НБ,-,-,-,-,-,-,-,-,68405,67000,-
239,DSC5UFM065F,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, Уфа-группа станций (ст.
отправления)",Уфа-группа станций,5915,363928760,28,"0,05",61504,61526,61532,61526,61504,61532,47
240,DSC5VAC005A,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, НБ Владикавказ
(самовывоз автотранспортом)",НБ Владикавказ,10,741000,100,"0,13",74100,74100,74100,74100,74100,74500,1
241,DSC5VLA065J,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, ст. Ветласян (ст.
отправления ОТП)",ст. Ветласян,650,42914625,14,"0,02",66016,66023,66027,66023,66000,66027,9
242,DSC5VON065J,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, ст. Войновка (ст.
отправления ОТП)",ст. Войновка,1495,98764185,7,"0,01",66063,66063,66063,66063,66063,66070,16
243,DSC5VRZ005A,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, Воронежский цех
(самовывоз автотранспортом)",Воронежский цех,75,5138750,-2083,"-3,04",68510,68517,68530,68517,68510,68530,3
244,DSC5YAI065F,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, ст. Яничкино (ст.
отправления)",ст. Яничкино,1885,121478630,16,"0,02",64435,64445,64450,64445,64435,64451,18
245,DSC5YAI065J,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, ст. Яничкино (ст.
отправления ОТП)",ст. Яничкино,-,-,-,-,-,-,-,-,-,65301,-
246,DSC5ZEL065J,"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, ст. Зелецино (ст.
отправления ОТП)",ст. Зелецино,-,-,-,-,-,-,-,-,-,63500,-
247,DST5BYY001O,"ДТ ЕВРО, летнее, сорта C, эк. класса К5 марки ДТ-Л-К5 по
ГОСТ 32511-2013, НП Брянск (франко-резервуар ОТП",НП Брянск,25,1706250,250,"0,37",68250,68250,68250,68250,68200,68250,1
248,DST5CHR001O,"ДТ ЕВРО, летнее, сорта C, эк. класса К5 марки ДТ-Л-К5 по
ГОСТ 32511-2013, ЛПДС Черкассы (франко-резервуар ОТП
Транснефть)",ЛПДС Черкассы,917,59736841,70,"0,11",65050,65144,65300,65144,58630,65300,30
249,DST5NIK001O,"ДТ ЕВРО, летнее, сорта C, эк. класса К5 марки ДТ-Л-К5 по
ГОСТ 32511-2013, ЛПДС Никольское-1 (франко-резервуар
ОТП Транснефть)",ЛПДС Никольское-1,267,18039309,341,"0,5",61657,68513,68600,68513,61657,68600,9
250,DST5NVL001O,"ДТ ЕВРО, летнее, сорта C, эк. класса К5 марки ДТ-Л-К5 по
ГОСТ 32511-2013, ЛПДС Невская (франко-резервуар ОТП",ЛПДС Невская,427,31751790,30,"0,04",73000,74360,74550,74360,73000,74550,15
251,DST5SLN001O,"ДТ ЕВРО, летнее, сорта C, эк. класса К5 марки ДТ-Л-К5 по
ГОСТ 32511-2013, НС Солнечногорская (франко-резервуар
ОТП Транснефть)",НС Солнечногорская,-,-,-,-,-,-,-,-,69000,67501,-
252,DST5VLD001O,"ДТ ЕВРО, летнее, сорта C, эк. класса К5 марки ДТ-Л-К5 по
ГОСТ 32511-2013, ЛПДС Володарская (франко-резервуар
ОТП Транснефть)",ЛПДС Володарская,250,16877500,-393,"-0,58",67350,67510,68000,67510,67350,68000,7
253,DTCENPT025A,"ДТ сорт C (ДТ-Л-К5) минус 5 EURO-6, ТАНЕКО (самовывоз
автотранспортом)",ТАНЕКО,-,-,-,-,-,-,-,-,69000,-,-
254,DTEUNPT025A,"ДТ сорт E (ДТ-Е-К5) минус 15 ""EURO-6"", ТАНЕКО (самовывоз
а/т)",ТАНЕКО,50,3450000,-,-,69000,69000,69000,69000,69000,69000,2
255,DTSNRUY060W,"ДТ сорт C (ДТ-Л-К5) минус 5, ст. Рудня-Экспорт
(промежуточная станция)",ст. Рудня-Экспорт,180,12330000,-,-,68500,68500,68500,68500,68500,68500,3
256,DTSNZAH060W,"ДТ сорт C (ДТ-Л-К5) минус 5, ст. Завережье-Экспорт
(промежуточная станция)","ст. Завережье-
Экспорт",420,28770000,-,-,68500,68500,68500,68500,68500,68500,3
257,DTSNZLY060W,"ДТ сорт C (ДТ-Л-К5) минус 5, ст. Злынка-Экспорт
(промежуточная станция)",ст. Злынка-Экспорт,-,-,-,-,-,-,-,-,-,68500,-
258,DT20RUY060W,"ДТ сорт F (ДТ-Е-К5) минус 20, ст. Рудня-Экспорт
(промежуточная станция)",ст. Рудня-Экспорт,240,16440000,-,-,68500,68500,68500,68500,68500,68500,2
259,DT20ZAH060W,"ДТ сорт F (ДТ-Е-К5) минус 20, ст. Завережье-Экспорт
(промежуточная станция)","ст. Завережье-
Экспорт",-,-,-,-,-,-,-,-,68500,66001,-
260,DT32MUU005A,"ДТ (ДТ-З-К5) минус 32, НБ Мурманская (самовывоз
автотранспортом)",НБ Мурманская,-,-,-,-,-,-,-,-,81450,-,-
261,DT32NVY065F,"ДТ (ДТ-З-К5) минус 32, ст. Новоярославская (ст. отправления)",ст. Новоярославская,-,-,-,-,-,-,-,-,-,99990,-
262,DT32NVY065J,"ДТ (ДТ-З-К5) минус 32, ст. Новоярославская (ст. отправления
ОТП)",ст. Новоярославская,-,-,-,-,-,-,-,-,-,99990,-
263,DT32OLN005A,"ДТ (ДТ-З-К5) минус 32, НБ Оленегорская (самовывоз
автотранспортом)",НБ Оленегорская,-,-,-,-,-,-,-,-,84450,-,-
264,DT38VLA065J,"ДТ (ДТ-З-К5) минус 38, ст. Ветласян (ст. отправления ОТП)",ст. Ветласян,-,-,-,-,-,-,-,67874,-,68213,-
265,DT5LKOB065F,"ДТ (ДТ-Л-К5) минус 5 (ТУ 2009), ст. Комбинатская (ст.
отправления)",ст. Комбинатская,1300,83639140,18,"0,03",64326,64338,64343,64338,64320,64344,12
266,DT5LKOB065J,"ДТ (ДТ-Л-К5) минус 5 (ТУ 2009), ст. Комбинатская (ст.
отправления ОТП)",ст. Комбинатская,-,-,-,-,-,-,-,-,-,64330,-
267,DT54ASO005A,"ДТ вид 4 (ДТ-А-К5) минус 44, АСН Сургутский ЗСК (самовывоз
автотранспортом)",АСН Сургутский ЗСК,75,5175000,-31,"-0,04",69000,69000,69000,69000,69000,69000,4
268,DT54INF025A,"ДТ вид 4 (ДТ-А-К5) минус 44, НБ Информат (самовывоз
автотранспортом)",НБ Информат,-,-,-,-,-,-,-,-,70000,-,-
269,DT54SER060C,"ДТ вид 4 (ДТ-А-К5) минус 44, БП Северо-Запад (ст.
назначения)",БП Северо-Запад,2040,158814000,-,-,77850,77850,77850,77850,77850,77850,1
270,DT54SUR065J,"ДТ вид 4 (ДТ-А-К5) минус 44, ст. Сургут (ст. отправления ОТП)",ст. Сургут,1560,101712000,-667,"-1,02",65200,65200,65200,65200,65200,65203,11
271,DT54URT005A,"ДТ вид 4 (ДТ-А-К5) минус 44, Сургут-25 БП (самовывоз
автотранспортом)",Сургут-25 БП,545,37877500,-,-,69500,69500,69500,69500,69500,69500,19
272,DW25ABS005A,"ДТ ЕВРО класс 2 (ДТ-З-К5) минус 32, НБ Абаканская
(самовывоз автотранспортом)",НБ Абаканская,-,-,-,-,-,-,-,-,77900,-,-
273,DW25BIN065J,"ДТ ЕВРО класс 2 (ДТ-З-К5) минус 32, ст. Биклянь (ст.
отправления ОТП)",ст. Биклянь,130,8701030,499,"0,75",66764,66931,67098,66931,66764,67266,2
274,DW25FIA005A,"ДТ ЕВРО класс 2 (ДТ-З-К5) минус 32, Усть-Кутский цех
(самовывоз автотранспортом)",Усть-Кутский цех,-,-,-,-,-,-,-,-,86600,-,-
275,DW25KHC005A,"ДТ ЕВРО класс 2 (ДТ-З-К5) минус 32, Харикский цех
(самовывоз автотранспортом)",Харикский цех,-,-,-,-,-,-,-,-,86701,-,-
276,DW25KLT005A,"ДТ ЕВРО класс 2 (ДТ-З-К5) минус 32, Култукский цех
(самовывоз автотранспортом)",Култукский цех,-,-,-,-,-,-,-,-,85600,-,-
277,DW25KML005A,"ДТ ЕВРО класс 2 (ДТ-З-К5) минус 32, НБ Кочкомская
(самовывоз автотранспортом)",НБ Кочкомская,-,-,-,-,-,-,-,75000,-,-,-
278,DW25NIC005A,"ДТ ЕВРО класс 2 (ДТ-З-К5) минус 32, Нижнеудинский цех
(самовывоз автотранспортом)",Нижнеудинский цех,-,-,-,-,-,-,-,-,85000,-,-
279,DW25PDK065J,"ДТ ЕВРО класс 2 (ДТ-З-К5) минус 32, Предкомбинатская-
группа станций (ст. отправления ОТП)","Предкомбинатская-
группа станций",-,-,-,-,-,-,-,-,69500,-,-
280,DW25PUP065F,"ДТ ЕВРО класс 2 (ДТ-З-К5) минус 32, ст. Пурпе (ст.
отправления)",ст. Пурпе,65,4270500,-1276,"-1,94",65700,65700,65700,65700,65700,65700,1
281,DW25VIK005A,"ДТ ЕВРО класс 2 (ДТ-З-К5) минус 32, Вихоревский цех
(самовывоз автотранспортом)",Вихоревский цех,-,-,-,-,-,-,-,-,85000,-,-
282,DW25ZHL005A,"ДТ ЕВРО класс 2 (ДТ-З-К5) минус 32, Жилкинский цех
(самовывоз автотранспортом)",Жилкинский цех,-,-,-,-,-,-,-,-,84000,-,-
283,JET-ANK065F,"Топливо для реактивных двигателей ТС-1 высший сорт,
Ангарск-группа станций (ст. отправления)","Ангарск-группа
станций",-,-,-,-,-,-,-,87830,88267,79047,-
284,JET-KOB065F,"Топливо для реактивных двигателей ТС-1 высший сорт, ст.
Комбинатская (ст. отправления)",ст. Комбинатская,260,21695960,-33,"-0,04",83446,83446,83446,83446,83000,84314,2
285,JET-NIH065F,"Топливо для реактивных двигателей ТС-1 высший сорт, cт.
Нижневартовск II (ст. отправления)",ст. Нижневартовск II,-,-,-,-,-,-,-,81909,80000,78500,-
286,JET-NOV065F,"Топливо для реактивных двигателей ТС-1 высший сорт, ст.
Новая Еловка (ст. отправления)",ст. Новая Еловка,65,5404360,823,"0,99",83144,83144,83144,83144,82321,83144,1
287,JET-NVY065F,"Топливо для реактивных двигателей ТС-1 высший сорт, ст.
Новоярославская (ст. отправления)",ст. Новоярославская,1300,102797500,-93,"-0,12",79000,79075,79150,79075,79000,79150,5
288,JET-NVY065J,"Топливо для реактивных двигателей ТС-1 высший сорт, ст.
Новоярославская (ст. отправления ОТП)",ст. Новоярославская,-,-,-,-,-,-,-,79200,79000,78500,-
289,JET-PDK065F,"Топливо для реактивных двигателей ТС-1 высший сорт,
Предкомбинатская-группа станций (ст. отправления)","Предкомбинатская-
группа станций",195,15892500,-,-,81500,81500,81500,81500,81500,81500,1
290,JET-SUR060F,"Топливо для реактивных двигателей ТС-1 высший сорт, ст.
Сургут (ст. отправления)",ст. Сургут,60,4800000,-,-,80000,80000,80000,80000,80000,80000,1
291,JET1USI060F,"Топливо для реактивных двигателей ТС-1 первый сорт, ст.
Усинск (ст. отправления)",ст. Усинск,-,-,-,-,-,-,-,-,78000,69000,-
292,MA11ZEL065J,"Мазут топочный М100, не облагаемый акцизом, ст. Зелецино
(ст. отправления ОТП)",ст. Зелецино,-,-,-,-,-,-,-,-,-,14500,-
293,M10ADZM065F,"Мазут топочный М100, не облагаемый акцизом, ст. Дземги (ст.
отправления)",ст. Дземги,-,-,-,-,-,-,-,47520,47100,46450,-
294,M16ASTI065F,"Мазут топочный М100 3,0 малозольный, не облагаемый
акцизом, ст. Стенькино II (ст. отправления)",ст. Стенькино II,715,11699155,1683,"10,29",16147,16362,16711,16362,16147,17012,9
